	151_Le	173_Le	279_Le	294_Ob	295_Ob	75_Ob	138_Ob	65_Ob	283_Ob	96_IR	132_IR	95_IR	126_IR
GBF1|NM_001199378+NM_001199379+NM_004193	7.65692498	8.164112129	3.990483435	6.065061314	5.263315779	7.030769412	6.602958698	3.673143988	7.491279553	5.726425628	5.084052971	6.0381728	6.828460375
C17orf98|NM_001080465	1.738365477	0.917580737	0	0.917974533	0.796998677	0	0	0	1.062974186	2.826262456	4.911666843	0	0
FAM35A|NM_019054	6.06998004	5.645116275	4.463394885	4.884358034	7.023609373	5.416519997	4.615921316	3.004302307	11.4001171	4.464398716	6.533498081	4.798721039	4.940637152
GSTA4|NM_001512	43.28931897	43.76333244	42.48712581	38.74523385	38.6850439	37.8106217	43.3531736	39.89054458	45.9869108	48.90846127	36.79721174	43.39514568	32.71652342
ANKRD52|NM_173595	1.027646947	2.169737159	1.542790027	1.386815884	1.936955586	1.1768375	2.096957826	0.730337708	1.850243682	1.85640542	2.338983973	1.303261798	1.69714355
MACROD1|NM_014067	2.348245489	5.371168707	2.266318274	2.066720708	1.076614072	2.200218863	5.625034425	1.87748211	1.675220424	5.090420208	3.317426863	2.436582103	5.817138413
LOC728613|NR_003713	0.763909053	0.604833887	1.474514382	1.613582565	1.050701672	0	0.609961031	2.137676642	2.802686595	1.552469478	1.888589289	1.188968829	1.135425929
MMP12|NM_002426	0	0.553383801	1.517720717	0.553621296	0.961323923	0	7.952565985	0	0.480801856	0.426122683	1.48108867	1.08782941	0.389565423
LEPROTL1|NM_015344+NM_001128208	28.28428751	17.42659051	19.25785376	26.36871875	47.82369914	30.70681507	35.88195238	29.00487786	22.46238069	26.62429213	37.68873797	27.65542977	24.89731204
NUP160|NM_015231	3.290073839	7.235984079	2.998882306	4.053890137	5.195667391	3.425196744	4.378393877	7.891493633	6.538387193	4.606130509	3.744199311	4.551787038	4.890156928
IMMT|NM_006839+NM_001100169+NM_001100170	46.45799014	58.15320632	51.24243099	49.94209844	55.379659	47.8823536	37.89037055	37.94029733	54.08368691	48.28662129	45.47387179	38.22019634	39.21178941
SNHG18|NR_045196	4.631744465	9.779300286	12.77185288	5.939980471	5.460540236	7.43961025	20.07661917	5.819310724	9.103548254	9.681897077	17.76061373	20.59706593	13.27692405
CXCL2|NM_002089	0.817884339	1.726851861	0	1.295694728	5.999684137	4.597963609	8.489765174	1.307838743	0.250059596	6.648647341	4.621784594	2.545954865	7.293908214
LIN37|NM_019104	11.97809395	24.83851161	12.38592081	8.132456127	18.436312	8.818094555	11.61365803	12.99707398	10.98653145	7.650569588	16.92176003	9.765397314	10.17341633
ZNF513|NM_001201459+NM_144631	3.69424408	1.949973842	0.594226063	3.901621415	0.56457396	2.307579722	0.491625916	0.984547428	1.129476553	0.500513437	2.174563836	3.194345541	0.91514832
PLD6|NM_178836	12.21780191	12.89811588	2.579398849	13.71012955	5.601567727	8.943458513	16.4625571	17.70530471	7.704397299	7.448961818	5.393875501	6.338706409	16.45728728
MAP3K14-AS1|NR_110326+NR_024434+NR_110325+NR_110324+NR_024435	2.591192487	0	0	0.684162446	0	1.213925591	1.890805648	2.071724426	1.980575115	1.05320057	2.745482982	0	1.759841862
UBQLN2|NM_013444	13.52954898	18.23349435	8.334586851	20.82550652	16.49726635	19.41960288	18.3880587	18.41228799	17.77822771	21.52854573	13.21680977	12.24635575	15.83085374
PILRA|NM_013439+NM_178273+NM_178272	1.851203876	0	0	0.488780419	0	1.401051221	6.651616437	2.220127011	1.414965638	1.504858467	0	0.960421356	0.687877985
KIAA1107|NM_015237	1.295761448	1.481904975	0.62527695	2.166790635	1.485188491	1.416427113	1.034631003	1.208660015	1.122469009	1.404446488	0.610185126	0.448168525	0.320989595
CSTF2T|NM_015235	6.224278919	4.928145796	6.238165118	5.183094166	6.695176719	7.177745624	5.352222537	5.359274968	8.63673078	3.697521467	7.102198552	4.222816136	6.048974732
MIR6752|NR_106810	0	7.314799285	13.37446981	0	6.353539382	25.96878298	0	22.1595798	8.473851398	0	0	0	0
MIR6761|NR_106819	519.2884502	418.3658813	408.850112	425.761731	463.6318877	384.1215815	316.4342599	426.1102532	463.7668255	488.7864393	202.7086039	368.6684456	457.0089822
MIR6758|NR_106816	0	8.243662686	15.07281519	16.4944012	0	14.63320311	0	0	14.32484403	0	11.03176076	0	11.60657733
DCTD|NM_001921+NM_001012732	39.96088089	37.55582061	33.39311322	33.33209586	45.57932599	38.3550783	23.08412756	32.72900463	37.69583525	38.03065796	35.45571793	28.31697001	33.31932415
PARP4|NM_006437	6.476674887	7.122198263	5.208926286	5.795207303	4.289132392	9.102605959	7.326224211	10.64421472	6.050536917	8.628653179	6.735243279	5.786938185	6.685082268
LSP1P3|NR_033961	4.432048918	1.169708778	2.138710049	0	3.047981426	0	0	0	0.677526339	0	3.130634497	0	0
MIR6869|NR_106929	15.8695961	33.50649995	0	8.380219966	14.55165471	14.86922251	12.67144978	25.376293	4.8519633	12.90052186	22.41938477	65.86632278	23.58756037
MIR6866|NR_106926	0	0	0	0	0	0	0	0	4.359335072	11.59070955	0	14.79470027	21.19267456
UGGT2|NM_020121	2.99365576	3.476383978	4.430123128	3.899436649	3.294045647	5.422892374	3.027782222	3.829606511	5.369636738	5.67832244	1.832659464	1.656678136	2.224789955
TRHDE|NM_013381	1.437571427	2.493230481	2.378427944	1.301374171	2.542211437	1.154529487	1.803783918	1.313571418	2.009245499	1.001668573	0.870383128	2.770207481	1.373602451
FKBPL|NM_022110	7.320795088	2.704951548	5.65230513	6.185399832	4.698971365	2.057793981	4.676367905	4.682529787	4.252687646	0	4.136909871	3.79809487	10.3371069
ITPRIPL2|NR_028028+NM_001034841	2.191652201	4.555073636	12.29453089	7.595047546	5.338104739	3.721962885	4.26556627	4.709257299	5.025560817	4.565379825	3.67674128	2.558360326	2.13775585
CREBZF|NR_028027+NR_028026+NR_028025+NR_028024+NM_001039618	8.522433593	6.462960622	5.058844964	6.066614914	4.395746714	5.190382566	5.614072382	4.834322218	4.714059903	5.529644489	5.708109729	5.513270665	3.570858196
TAPT1-AS1|NR_027697+NR_027696	3.153573269	4.161463921	2.663105302	1.835949067	2.891674686	2.585433463	3.777066385	1.260681096	2.007840128	2.884010608	5.290471277	5.317332818	4.394316697
SLC9A3R1|NM_004252	33.66427203	28.53871121	11.81446049	30.4363998	18.70819082	50.18073036	28.10184383	18.35143867	51.77439222	28.19522795	22.33802655	13.23131028	24.26009077
NDUFB11|NM_001135998+NM_019056	168.1828972	179.7396986	142.7760207	133.5914291	140.4674714	138.1994875	167.3233608	95.63660733	86.17845698	109.6662275	118.798145	155.8454942	136.3507564
UGT1A7|NM_019077	0	0	2.221256753	0	0	0	0.918865273	2.760228085	0	0.935476345	3.251466004	1.194067721	2.565664205
